n;price;s;floor;rooms;walls;district
1;10000;18,5;1;1;1;1
2;11000;57,1;1;3;0;1
3;9000;19;3;1;1;1
4;9000;36,5;9;1;1;4
5;14000;60;6;2;0;3
6;7000;12;4;1;1;3
7;13000;68;4;2;0;1
8;6500;26;2;1;0;4
9;7000;12;3;1;1;4
10;13000;43;5;2;1;3
11;8000;16;5;1;1;2
12;12000;30;4;1;1;3
13;10500;31;3;1;1;2
14;10000;20;3;1;1;2
15;7500;11;1;1;0;3
16;6000;14;3;1;1;3
17;15000;48;8;1;1;3
18;20000;69;2;2;1;3
19;10500;40;6;1;0;1
20;7000;30;1;2;1;4
21;7000;15;1;1;0;3
22;11000;22;7;1;1;2
23;15000;48;8;1;1;3
24;9000;24;1;1;1;3
25;6500;21;2;1;1;1
26;13000;44;8;1;1;3
27;14000;38;8;1;1;3
28;20000;64;3;3;0;1
29;19000;50;4;1;1;2
30;9000;20;2;1;1;1
31;12000;29;4;1;1;4
32;13000;40;12;1;0;4
33;8000;19;2;1;1;4
34;19000;54;1;2;1;2
35;8000;17;3;1;1;1
36;16000;65;7;2;1;2
37;12000;40;1;1;1;1
38;10000;21;2;1;1;3
39;12000;31;1;1;1;4
40;14000;44;3;2;1;1
41;13000;44;4;1;0;1
42;13000;40;2;1;1;3
43;13000;43;5;2;0;4
44;8500;30;5;1;1;2
45;8000;19;5;1;1;1
46;7500;19;3;1;1;4
47;16000;43;7;1;1;2
48;13000;40;4;2;0;4
49;13000;54;3;2;1;1
50;10000;36;4;1;1;4
51;7500;15;1;1;0;4
52;11000;36;2;1;0;3
53;8500;28;7;1;1;1
54;6000;12;3;1;1;3
55;10000;19;3;1;1;3
56;12000;34;6;1;1;3
57;14000;35;5;1;1;3
58;13000;33;2;1;0;4
59;11000;33;4;1;0;2
60;14000;40;12;1;0;2
61;8000;17;1;1;0;1
62;12000;44;6;1;1;1
63;12000;40;2;2;0;4
64;15000;60;5;3;1;1
65;12000;34;3;1;1;2
66;12000;54;3;3;1;4
67;17000;42;2;3;1;2
68;12000;43;7;1;0;4
69;10000;24;5;1;0;4
70;7500;14;1;1;1;2
71;11000;36;6;1;0;1
72;13000;48;5;2;1;1
73;10000;30;3;1;0;1
74;12000;40;5;1;1;1
75;13000;38;2;2;0;4
76;20000;66;6;3;0;4
77;12000;44;3;2;0;1
78;6000;20;2;1;1;2
79;6000;12;1;1;0;2
80;13000;60;4;2;0;1
81;7000;36;1;1;1;4
82;11000;30;8;1;1;1
83;9500;16;4;1;1;2
84;15000;54;1;2;0;4
85;7500;20;3;1;1;1
86;10000;30;2;1;1;4
87;15000;45;6;1;1;2
88;15000;50;3;2;1;3
89;11000;30;3;1;0;1
90;15000;65;4;2;1;3
91;8000;18;3;1;1;1
92;20000;70;10;3;0;3
93;11000;31;2;1;0;1
94;10000;35;4;1;1;3
95;18000;45;5;1;1;2
96;20000;54;7;2;1;2
97;11000;32;5;1;1;2
98;20000;50;4;2;1;2
99;16000;30;1;1;1;2
100;19000;70;9;3;0;2
101;16000;54;12;2;0;2
102;8500;18;3;1;1;4
103;11000;36;7;1;0;3
104;16000;60;8;2;1;3
105;9000;19;4;1;1;3
106;7000;19;1;1;1;3
107;12000;44;3;1;1;3
108;12000;64;9;2;0;1
109;20000;65;8;2;1;3
110;14000;24;1;1;1;2
111;20000;55;1;2;1;3
112;18000;50;3;2;1;2
113;17500;45;3;1;1;3
114;12000;45;7;1;1;1
115;10000;30;8;1;1;1
116;14000;33;4;1;1;2
117;10000;30;2;1;0;1
118;15000;44;5;1;0;2
119;12000;50;3;1;1;1
120;7000;13;3;1;1;1
121;13000;44;7;2;0;4
122;8000;19;3;1;1;1
123;11000;39;3;1;0;1
124;13000;40;7;2;0;4
125;13000;39;12;1;0;2
126;8000;16;2;1;1;1
127;18000;70;9;3;0;3
128;14000;44;4;2;0;4
129;9000;30;8;1;1;2
130;16000;50;5;2;1;3
131;10000;35;5;1;1;3
132;8000;16;1;1;1;1
133;11000;33;1;1;0;4
